mean,std,min,max,median,rms,zcr,spectrogram_mean_energy,spectrogram_peak_frequency,spectrogram_bandwidth,fft_total_energy,fft_dominant_frequency,fft_mean_magnitude,spectral_centroid,energy_entropy,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-0.0084045036371383,0.0066813305493548,-0.067932960435344,0.0268209972923032,-0.0083064049741767,0.0107366595967467,0.02,1.366938166346799e-07,50.78125,16.0,32.70340232761215,0,0.0934382923646061,35.89614920841783,5.9501099443624526,-11.64755038651727,24.40690760099096,10.096331098059649,-2.9302403314721035,-7.373595877486481,-4.5223447513281325,0.0274019672955337,1.261917999346163,-0.9602734203305092,-3.1343548364218776,-3.226406406394918,-1.4114956191774186,-0.3899939963024362,WALKING
-0.0084770218105881,0.005510504182667,-0.0438025995898897,0.0195351486983551,-0.0081709190343627,0.0101106654145203,0.0142857142857142,8.129476301507552e-08,42.96875,16.0,27.69858286428479,0,0.0791388081836708,34.08546256031024,5.812963868229263,-10.84057880443546,23.9764849350044,9.24072491331353,-4.165989016899236,-10.982947710999674,-10.0467200760149,-4.551921005186028,0.6795413585438896,2.473100813881575,1.4312559024365092,-0.6390940387979401,-1.5283593000944404,-1.9770206240449972,WALKING
-0.0083049070297314,0.0069758016868873,-0.0586720675364337,0.0340788047268123,-0.0081263754838445,0.0108458881585264,0.02,1.3889944838011714e-07,54.6875,21.0,34.007183163071545,0,0.0971633804659187,33.294872512425435,5.962769672389179,-10.832357057295178,24.59961077877407,10.428046802186149,-3.2482559887354427,-10.235924852535328,-9.444360496077296,-4.293770754451967,0.4324382792038101,1.4100696477134604,-0.021988034654414,-2.2500478208981574,-2.7048046862617774,-2.6767904421199025,WALKING
-0.0083952949456483,0.0067989849592225,-0.052689629057838,0.0221050809505718,-0.0083826590611337,0.0108031094459031,0.0228571428571428,1.322033929206227e-07,42.96875,27.0,34.768531972433,0,0.09933866277838,40.65145830976807,6.188986288105944,-10.809740181897038,23.876741756056823,9.791242047266913,-3.4163841402335944,-9.496115793007826,-7.97736854110805,-2.498859405715112,1.6301433621252326,1.5927158818097835,-0.776933463793112,-2.855713670275043,-2.6361478542537964,-1.868775079748748,WALKING
-0.0082852224987365,0.0065363291463401,-0.0489494241196244,0.0291868201198514,-0.0082198260589063,0.0105531279989804,0.02,1.0679339252698577e-07,46.875,22.0,31.465706809321247,0,0.0899020194552035,32.704578787543774,5.913287979936018,-10.860139728619885,24.425470295635307,10.478246442140469,-1.4308258184890534,-8.510183662075805,-8.933276794557026,-5.73246564861266,-1.801977995788642,-0.2777694098282268,-0.2592660367095171,-1.2713074608976618,-1.345508611866916,-1.8876086390814253,WALKING
-0.0081619877110611,0.0066409839651731,-0.0505310482479599,0.0173746475265648,-0.0071913782873703,0.0105223909555386,0.0171428571428571,1.2781302839914572e-07,46.875,26.0,33.771303607594334,0,0.0964894388788409,35.64035618529263,6.082553374933882,-10.8370107551449,24.177496867152264,11.076792990887965,-0.996626721575371,-7.269949572253692,-6.462169206898861,-2.3343056079444118,0.8990777598557257,0.5118504009049722,-1.3332015647577342,-3.268678173605653,-3.2782885276933538,-3.408631239243578,WALKING
-0.0083184262222951,0.0082989087773588,-0.0760590890302271,0.031342639260696,-0.0081907366087581,0.0117502383682498,0.02,2.1417000440552246e-07,46.875,19.0,38.65505149028323,0,0.110443004257952,36.132098075146686,5.948559020867475,-11.080211067532195,24.209575195606902,11.418644061824024,-1.4002081826345345,-8.24796146226214,-8.557963469204353,-4.98228311464979,-1.4059011737493938,-0.1431453112899325,-0.1526565039435058,-0.8819958409171768,-0.891640111545181,-1.31389784335379,WALKING
-0.0081864166828442,0.0083789378162909,-0.0648122152848447,0.0290740104405372,-0.0081368842857021,0.0117142655354239,0.0257142857142857,2.1965651445784725e-07,82.03125,22.0,40.99660708224715,0,0.1171331630921347,39.88987646043673,6.081902726911548,-11.146896655409908,25.08033429361933,10.19143049405921,-2.385943991855546,-8.635682648549764,-7.68782179060306,-3.312299293707383,0.6902459138958238,1.5951219018157168,0.8801511655964526,-0.5359815374711779,-0.5112079120649397,-0.6634782385297633,WALKING
-0.0083970210802377,0.0059414736650258,-0.0568424129840763,0.0313884381023552,-0.0086013317742228,0.0102864509105013,0.0142857142857142,1.0780232736059604e-07,46.875,22.0,29.809525917830136,0,0.0851700740509432,35.53322194247947,5.830995606307098,-11.760393546487592,23.774071696739345,11.031375102766994,-0.8623689758952533,-6.646098173201502,-6.329236503337895,-2.830128488176546,-0.2372688366676215,-0.3582333593086843,-1.7396699721712856,-2.2064449811639357,-0.7073000144537263,0.7575609716846653,WALKING
-0.0084136879953015,0.0058763138792583,-0.0533707302181829,0.0144439898610824,-0.0084062727610883,0.010262612264421,0.0228571428571428,1.0513130009045283e-07,50.78125,25.0,30.234922649523963,0,0.0863854932843541,35.72345727542378,5.841219115213192,-11.542635680762928,23.03036674168859,9.81416011808262,-2.392191692151322,-8.361771250418213,-8.00296100514747,-4.197597982819753,-0.6022387894218476,0.4584443159740848,0.0959404900696877,-0.5543366668714937,-0.0073696367905475,0.2067444225281865,WALKING
-0.0082624296879469,0.0143773288228723,-0.129585121595412,0.0826073439192783,-0.0086611447859599,0.0165823800592455,0.04,6.417799781989563e-07,82.03125,14.0,59.65487847766683,0,0.1704425099361909,41.34141139858252,6.058751766972875,-10.51345790158042,24.808104027177745,10.76121164166179,-1.4354128486622657,-8.130268216514887,-8.42588877644494,-5.387064491385787,-1.7150940460079274,-0.3737988858068282,0.1929238704393197,-0.4687947519280713,-0.097282930512508,-1.160831287410286,WALKING
-0.0084556764298254,0.0097318574691643,-0.0884862109715576,0.0428331256759696,-0.0086523600522851,0.0128921493043648,0.0257142857142857,2.9253494890507693e-07,50.78125,22.0,44.25857485270817,0,0.1264530710077376,36.979026915797135,5.997376022925848,-11.063924486249189,24.38472098873683,10.884207889604887,-1.299423385751263,-7.688485305288656,-8.203566710631879,-5.058384579264795,-1.6518487177268293,0.0714618130292672,0.1666206848656611,-0.5911197484954178,-0.8815159198077491,-1.0795246499475082,WALKING
